#
# Heading: Word freq-Wortschatz Liepzig
#
# Source:
https://wortschatz.uni-leipzig.de/en/download/Vietnamese
#   -> vie-vn_web_2015_1M-words.txt [vie-vn_web_2015_1M.tar.gz]
#
#
#term	freq_per_million
reading	freq per million
và	21462
của	16528
các	13790
là	11596
được	11207
đã	8318
có	8152
những	7927
cho	7785
một	7515
trong	7461
với	7270
để	6943
này	5409
về	4723
bạn	4707
sẽ	4279
ở	4185
không	4144
đến	3913
khi	3699
từ	3670
trên	3661
tại	3559
nhưng	3420
thì	3379
vào	3346
người	3337
cũng	3301
mà	3278
năm	3163
có thể	3006
như	2954
tôi	2898
nhiều	2864
phải	2772
lại	2590
còn	2549
theo	2545
làm	2542
mới	2446
hơn	2425
đang	2351
việc	2351
sự	2245
ông	2178
rất	2110
bị	2108
nên	2052
họ	2036
chỉ	1957
mình	1933
anh	1908
Việt Nam	1879
đi	1852
học	1829
nước	1757
hay	1741
do	1726
hoặc	1678
vì	1678
em	1667
nếu	1636
sử dụng	1595
vẫn	1532
đó	1523
bằng	1519
đồng	1494
cùng	1489
nhất	1471
con	1465
thực hiện	1460
lên	1435
tổ chức	1431
giúp	1408
sau	1406
khác	1397
tháng	1379
ra	1368
nó	1345
cô	1330
đều	1276
tỉnh	1267
chính	1260
loại	1258
ngày	1258
hai	1251
hoạt động	1242
cao	1240
trường	1228
nào	1213
cần	1204
lớn	1201
nhà	1199
sản phẩm	1156
thêm	1145
chúng tôi	1143
vừa	1138
cả	1138
dùng	1134
thấy	1120
phát triển	1118
điểm	1111
tới	1105
rồi	1091
cách	1084
xây dựng	1073
qua	1062
đối với	1053
của mình	1044
tăng	1044
số	1030
tuy nhiên	1006
chưa	1003
trước	990
muốn	972
luôn	970
phần	963
đạt	961
nhận	958
chiếc	958
bộ	954
khoảng	936
một số	934
doanh nghiệp	922
gia đình	918
thông tin	918
giữa	913
thời gian	913
công ty	909
chương trình	907
hàng	904
bởi	886
nơi	884
triệu	884
tham gia	882
đặc biệt	873
biết	873
Hà Nội	873
giá	857
hãy	855
tốt	846
chúng ta	841
đầu tư	819
tuổi	814
mua	810
sản xuất	808
nhỏ	808
xe	808
đẹp	805
từng	803
cho biết	796
rằng	796
đây là	794
nói	790
gì	787
ta	783
cái	778
huyện	772
trẻ	765
công tác	765
sau khi	763
đường	758
chị	756
những người	754
chọn	754
giảm	751
xem	749
vấn đề	747
mỗi	742
thường	738
đầu	736
đó là	731
đây	731
quá	729
cấp	727
bán	722
đã có	718
phòng	713
hệ thống	713
thị trường	711
thành	706
tạo	697
da	695
ngành	684
khiến	682
dự án	677
quản lý	677
lớp	677
tiếp tục	677
ngoài	675
thành phố	675
trở thành	670
mẹ	668
không có	668
dưới	668
gây	666
Mỹ	666
máy	661
sống	655
kết quả	655
khu vực	650
thiết kế	646
thật	646
xã	643
chất lượng	637
thứ	637
xã hội	632
sinh viên	630
hiện nay	628
ăn	623
vùng	623
đất	623
gần	621
khách hàng	621
cơ sở	619
đội	612
học sinh	610
mọi	607
trận	607
so với	603
trang	603
rất nhiều	601
chơi	594
đơn vị	589
sinh	589
hỗ trợ	589
quy định	587
kinh doanh	580
làm việc	578
nhóm	576
yêu cầu	574
ba	574
các bạn	574
tỷ	574
Trung Quốc	569
mang	569
thuộc	569
vốn	567
giờ	567
đoàn	567
có một	565
nghiên cứu	565
khá	565
cán bộ	565
nữa	560
hiệu quả	560
nhằm	560
tiền	560
dịch vụ	558
ngay	556
mức	553
thi	553
tính	553
ty	553
bà	549
đầu tiên	549
trong đó	549
khả năng	547
người dân	544
lấy	544
chúng	544
hội	544
cũng như	542
cuộc	542
bé	542
ca	538
tìm	538
công nghệ	535
bắt đầu	535
ấy	531
đưa	531
thành công	531
màu	531
thể	531
hình ảnh	529
cây	529
quyết định	526
bảo vệ	526
giải	526
chất	522
a	517
sau đó	515
tay	511
xin	511
tin	508
dù	504
quan trọng	504
gặp	499
cũng là	499
công việc	497
thương	497
tự	495
điều	493
khu	493
hết	490
Việt	490
khó	488
nguồn	488
hiện	488
biển	486
vàng	484
tên	481
cuộc sống	479
ai	477
ngoài ra	475
đào tạo	475
lúc	472
riêng	470
bệnh	468
không thể	466
quá trình	466
độ	466
cho rằng	463
văn hóa	463
cung cấp	461
con người	461
điện	459
khó khăn	454
hướng	454
lượng	452
ít	450
xử lý	450
kinh tế	448
hình	448
lần	445
thế giới	445
phim	445
dân	443
mất	443
du lịch	443
hoa	441
giữ	441
triển khai	441
cơ quan	441
khách	441
như vậy	439
chân	439
một cách	439
đủ	439
đảm bảo	436
nhìn	432
kiểm tra	432
thuốc	432
gửi	432
u	430
thay đổi	427
nhanh	427
ban	425
môi trường	425
nhau	423
chủ	423
ứng dụng	421
dành cho	421
chung	421
đá	418
quan tâm	416
thiết bị	416
xuất hiện	414
đánh giá	414
đúng	414
công	414
viết	412
kế hoạch	412
y	412
mẫu	412
Trần	412
một trong những	409
bài	405
đồng thời	403
đặt	400
trung tâm	400
phụ nữ	398
bên	398
giáo dục	396
nhiệm vụ	396
mặt	394
sang	394
cứ	394
địa phương	394
phục vụ	394
nghe	391
dễ	391
nội dung	391
vị trí	391
có nhiều	389
xuống	389
sao	389
an toàn	389
càng	387
chống	387
mắt	385
thu	385
vậy	382
thấp	382
đăng ký	382
tập trung	382
hiệu	380
không chỉ	378
vòng	378
mọi người	378
yêu	376
lãnh đạo	376
đơn giản	376
người ta	376
viên	376
đầy	373
trong việc	373
dài	373
vụ	373
trước khi	373
bản	373
mạng	371
lựa chọn	371
ảnh	371
cá nhân	371
sáng	369
nhân dân	369
cá	369
đấu	367
tình trạng	367
nâng cao	367
nghề	367
diễn ra	364
tâm	364
xa	364
sẽ có	362
mạnh	362
khác nhau	360
đối tượng	360
giới thiệu	360
tổng	358
trực tiếp	358
quân	358
tiếng	358
nhé	353
vị	353
chỉ có	353
mục tiêu	353
quốc tế	351
cũng không	349
kinh nghiệm	349
quốc gia	349
cầu	349
thế	346
thiếu	344
ảnh hưởng	344
trong khi	344
phủ	344
mở	344
giải quyết	344
giá trị	342
sớm	342
chạy	342
bóng	342
phong	340
thể hiện	340
hiện tại	340
đêm	340
nổi tiếng	340
ngân hàng	337
buổi	337
học tập	337
đa	335
chuẩn bị	335
nhất là	335
tất cả	335
nhu cầu	333
cơ thể	333
nằm	333
nhiều người	331
hãng	331
Tây	331
điều này	331
diện tích	331
năm nay	331
khoa học	331
chia sẻ	331
kỹ thuật	331
thông qua	328
không phải	326
trường hợp	326
la	326
hoàn toàn	324
thích	324
đỏ	324
lao động	324
chuyển	324
xảy ra	322
nay	322
cảm	322
gia	322
một người	322
trưởng	322
nữ	322
hiện đại	319
gồm	319
phát hiện	317
điều trị	317
dòng	317
cơ hội	317
đưa ra	315
cùng với	315
hồ sơ	315
hỏi	313
dễ dàng	313
ngồi	313
phương pháp	313
cụ thể	313
sâu	310
ha	310
bàn	310
thành viên	310
hướng dẫn	310
rõ	308
gọi	308
phối hợp	308
tập	308
kiểu	308
ngày càng	306
nhân	306
làng	306
áp dụng	306
bao gồm	304
cháu	301
tự nhiên	301
làm cho	299
giao	299
loài	297
cho phép	297
không được	297
va	295
dạy	295
cổ	295
nhờ	295
cảm giác	292
trách nhiệm	292
đứng	292
tạo ra	292
thầy	290
của ông	290
chuyện	290
bước	290
đánh	290
đọc	290
tất cả các	288
nghĩ	288
bản thân	288
chức năng	288
khẳng định	286
màn hình	286
chi	286
tướng	286
xác định	286
chính sách	286
để có	286
thực tế	286
hoàn thành	286
chắc chắn	283
nuôi	283
quan hệ	283
định	283
phút	283
rộng	281
xanh	281
máy bay	281
cho thấy	281
nhớ	281
đầy đủ	281
nhân viên	281
tiến hành	281
đô	281
công trình	279
trong năm	279
lắm	279
giáo viên	279
thông báo	279
đâu	279
cần thiết	277
thực sự	277
bảo	277
hộ	277
địa bàn	277
toàn	277
chuyên	277
báo	274
góp phần	274
đại diện	274
mặc dù	272
tăng cường	272
cần phải	272
uống	272
cuối cùng	272
hát	272
bảng	272
thân	270
báo cáo	270
thường xuyên	270
trở nên	268
sở hữu	268
hấp dẫn	268
trình	268
quận	268
bình	265
liệu	265
xuất khẩu	265
hạnh phúc	265
thôi	263
bao	263
chiếm	263
xong	263
có lẽ	263
chi phí	263
bỏ	263
vui	263
vì vậy	261
chủ yếu	261
nguyên nhân	261
nàng	261
cậu	261
chết	261
giới	261
chẳng	261
tỷ lệ	261
trắng	261
Nga	259
phố	259
hạn chế	259
quyền	259
phần mềm	259
mô hình	259
người dùng	259
lực lượng	256
dạng	256
giải pháp	256
môn	256
nghệ thuật	256
không còn	256
tế	256
Thái	256
thậm chí	254
còn có	254
thực phẩm	254
câu	254
điều kiện	254
nghiệp	254
thời điểm	252
bây giờ	252
những ngày	252
kể	252
hóa	252
tài chính	252
sạch	252
sách	252
toàn bộ	250
đồng chí	250
sức	250
vợ	250
tích cực	250
làn	247
mang lại	247
trồng	247
nghèo	247
giống	247
đời	247
đề nghị	247
thanh niên	247
sức khỏe	247
nam	247
tư vấn	247
nhanh chóng	245
chỉ là	245
chính thức	245
ổn định	245
viện	245
liên tục	245
văn	245
khán giả	245
kỳ	245
khách sạn	245
tinh thần	243
truyền thống	243
lòng	243
bác sĩ	243
chỉ cần	243
tiếp	243
đất nước	243
chế độ	243
sẽ không	243
sẽ là	241
đôi	241
tình yêu	241
cuối	241
o	241
đại học	241
giao thông	241
tặng	241
tăng trưởng	241
lĩnh vực	241
cố gắng	241
lời	238
pha	238
đoạn	238
cơ bản	238
kết thúc	238
lễ	238
giai đoạn	238
chồng	238
tài sản	238
vé	238
số lượng	238
phù hợp	238
phù hợp với	238
pháp luật	238
quý	236
cạnh tranh	236
ở đây	236
thời	236
khoản	236
lập	236
dân tộc	236
chữ	236
chuyên gia	234
mô	234
máy tính	234
thành lập	234
phân	234
Nhật Bản	234
lá	234
tránh	232
mùa	232
nóng	232
nhà nước	232
cảm thấy	232
vẫn còn	232
máu	232
tìm kiếm	232
miền	232
khai thác	229
cũ	229
quý khách	229
tầng	227
công bố	227
phía	227
hiểu	227
sân	227
đấy	227
yếu tố	227
kính	227
khóa	227
chú ý	227
điện thoại	225
kẻ	225
bệnh nhân	225
ghi	225
thú vị	225
tác phẩm	225
thu hút	225
áo	225
chi tiết	225
thí sinh	223
gọi là	223
co	223
khối	223
chiến lược	223
ý kiến	223
hình thức	223
còn lại	223
khí	223
phường	223
tàu	223
có khả năng	223
trẻ em	223
quả	220
bằng cách	220
du khách	220
không gian	220
trong nước	220
chăm sóc	220
tốt nghiệp	220
bắt	220
câu chuyện	220
Hàn Quốc	220
như thế	218
nguy cơ	218
ấn tượng	218
sự kiện	218
của nó	218
tác giả	218
tác dụng	218
to	218
tốt nhất	218
nét	216
nhạc	216
kiến thức	216
nặng	216
cộng đồng	216
nghỉ	216
đồ	216
trời	214
mạnh mẽ	214
chỗ	214
chuẩn	214
bất ngờ	211
hôm nay	211
cho mình	211
giỏi	211
sông	211
điều chỉnh	211
quảng cáo	211
giám đốc	211
cầu thủ	211
bên cạnh	209
thương mại	209
sắc	209
hắn	209
lịch sử	209
xét	209
của tôi	209
không phải là	209
như thế nào	209
dịch	207
việc làm	207
chắc	207
bay	207
nhà trường	207
vì thế	207
thu nhập	207
tuần	207
chính trị	207
do đó	205
vài	205
màu sắc	205
mong muốn	205
bác	205
tuy	205
điều đó	205
thư	205
không biết	205
của công	205
mối	205
mở rộng	205
chiều	205
thủ tục	205
bên cạnh đó	202
trở lại	202
sợ	202
tại Việt Nam	202
phiên bản	202
chỉ đạo	202
cao hơn	202
vào năm	202
vô cùng	202
giáo	202
tình hình	202
ma	200
thuế	200
duy trì	200
hạt	200
đáng	200
nỗ lực	200
chứa	200
bổ sung	200
quay	200
liên quan đến	200
thay	200
chủ tịch	200
cảnh	200
hàng đầu	198
thắng	198
kỹ năng	198
mong	198
bếp	198
trái	198
luật	198
hành chính	198
rừng	196
của anh	196
cũng được	196
món	196
bình thường	196
địa chỉ	196
thông	196
lạnh	196
nước ngoài	196
vai trò	196
khô	196
tấn	196
về việc	196
nợ	193
vừa qua	193
nhẹ	193
đừng	193
đến với	193
đơn	193
hơi	193
chịu	193
đau	193
đông	193
chứ	191
gắn	191
hành	191
xu hướng	191
sáng tạo	191
tham dự	191
văn phòng	191
núi	191
sữa	191
giành	191
giao dịch	191
kết nối	191
nổi	189
hợp tác	189
hầu hết	189
tiết kiệm	189
dầu	189
in	189
quan	189
chia	189
hành vi	189
Nhật	189
chính phủ	187
lợi ích	187
lực	187
vượt	187
khám	187
tiêu chuẩn	187
trả lời	187
Hoa	187
đen	187
tóc	187
nền	187
bánh	184
tìm hiểu	184
đê	184
thơ	184
gỗ	184
đáp ứng	184
kiểm soát	184
siêu	184
trả	184
hình thành	184
mỗi ngày	184
trước đó	182
nếu không	182
mời	182
đô thị	182
đại biểu	182
may	182
đội ngũ	182
tạo nên	182
dữ liệu	182
văn bản	182
kéo dài	182
dựng	182
đến nay	180
cha	180
kết hợp	180
Phật	180
tốt hơn	180
quán	180
thôn	180
thử	180
rõ ràng	180
khỏi	180
công nghiệp	180
truyền	180
rẻ	180
trị	180
động	180
lượt	180
dần	178
